Model Selected,Discretizaion,Discretizaion Type,Number Of Bins,Normalization,Data Completed By,Max Tree Depth,Number Of Neighbors,Number Of Clusters,Majority,Accuracy,Recall,Precision,F1Score
K-Means,No,None,None,No,All Data,Not Relevant,Not Relevant,3,52.276923076923076,11.015384615384615,11.015384615384615,35.31420591715976,11.320464667876882
K-Means,No,None,None,No,All Data,Not Relevant,Not Relevant,6,52.276923076923076,23.415384615384617,23.415384615384617,45.40279820455167,30.88600714622256
K-Means,No,None,None,No,All Data,Not Relevant,Not Relevant,6,52.276923076923076,37.66153846153846,37.66153846153846,75.71143906824192,50.28621434425907
Sklearn NaiveBayes,No,None,None,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.276923076923076,90.98461538461538,90.98461538461538,91.39437097577364,90.9384501492701
Sklearn Decision Tree,Yes,Equal-width,4,No,Classification Column,10,Not Relevant,Not Relevant,52.276923076923076,94.06153846153846,94.06153846153846,94.1065581407459,94.05494266400301
Our NaiveBayes,Yes,Equal-width,4,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,51.63934426229508,73.77049180327869,73.77049180327869,74.563939805538,73.66449971735443
Our NaiveBayes,No,None,None,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,51.63934426229508,72.95081967213115,72.95081967213115,73.04997355896352,72.95627203663987
Sklearn NaiveBayes,No,None,None,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,51.63934426229508,75.40983606557377,75.40983606557377,83.69865536931295,74.05986929552503
Sklearn NaiveBayes,No,None,None,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,51.63934426229508,75.40983606557377,75.40983606557377,83.69865536931295,74.05986929552503
Sklearn Decision Tree,No,None,None,Yes,Classification Column,4,Not Relevant,Not Relevant,52.276923076923076,93.93846153846154,93.93846153846154,93.9764306512418,93.93232459095412
Our Decision Tree,No,None,None,Yes,Classification Column,4,Not Relevant,Not Relevant,52.276923076923076,65.56923076923077,50.999355254674406,68.78260869565217,58.570899666790076
Sklearn NaiveBayes,Yes,Equal-width,3,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,89.00259035299702
Sklearn NaiveBayes,Yes,Equal-depth,3,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,89.00259035299702
Sklearn NaiveBayes,No,None,None,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,89.00259035299702
Our NaiveBayes,No,None,None,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,95.56923076923077,95.56923076923077,95.80235757727613,95.55327578869812
Sklearn Decision Tree,No,None,None,Yes,Classification Column,4,Not Relevant,Not Relevant,52.98461538461539,54.09230769230769,54.09230769230769,53.608363881638766,49.89214542801292
Our Decision Tree,No,None,None,Yes,Classification Column,4,Not Relevant,Not Relevant,52.98461538461539,54.09230769230769,13.874345549738221,54.63917525773196,22.129436325678498
KNN,No,None,None,Yes,Classification Column,Not Relevant,2,Not Relevant,52.98461538461539,52.0,52.0,45.497757847533634,38.646561112507335
K-Means,No,None,None,Yes,Classification Column,Not Relevant,Not Relevant,4,52.98461538461539,46.64615384615385,99.21465968586386,75.05127887592285,29.96020305881592
Sklearn Decision Tree,Yes,Entropy Based,3,Yes,Classification Column,3,Not Relevant,Not Relevant,52.98461538461539,50.89230769230769,50.89230769230769,48.514877507574994,45.199804935265284
Sklearn Decision Tree,Yes,Entropy Based,3,Yes,All Data,3,Not Relevant,Not Relevant,52.98461538461539,50.89230769230769,50.89230769230769,48.514877507574994,45.199804935265284
Sklearn NaiveBayes,No,None,None,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,89.00259035299702
Sklearn NaiveBayes,Yes,Entropy Based,3,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,89.00259035299702
K-Means,Yes,Entropy Based,3,Yes,Classification Column,Not Relevant,Not Relevant,5,52.98461538461539,45.96923076923077,86.7595818815331,77.74481605351171,36.83527937860186
KNN,Yes,Entropy Based,3,Yes,Classification Column,Not Relevant,5,Not Relevant,52.98461538461539,51.93846153846153,51.93846153846153,44.803781167053145,38.42777901136664
Sklearn NaiveBayes,Yes,Equal-depth,3,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,89.00259035299702
Sklearn Decision Tree,Yes,Equal-depth,3,No,Classification Column,5,Not Relevant,Not Relevant,52.98461538461539,56.18461538461539,56.18461538461539,76.0171353122402,43.47757497790848
Sklearn NaiveBayes,No,None,None,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,89.00259035299702
